saved stats to ./Rewards/2DMaze_Reward_medium/Stats/2DMaze_Reward_medium_stats.pkl
model 100, Loss 0.0194
model 200, Loss 0.0152
model 300, Loss 0.0131
model 400, Loss 0.0120
model 500, Loss 0.0112
model 600, Loss 0.0105
model 700, Loss 0.0101
model 800, Loss 0.0099
model 900, Loss 0.0096
model 1000, Loss 0.0092
model 1100, Loss 0.0088
model 1200, Loss 0.0093
model 1300, Loss 0.0083
model 1400, Loss 0.0084
model 1500, Loss 0.0081
model 1600, Loss 0.0081
model 1700, Loss 0.0080
model 1800, Loss 0.0079
model 1900, Loss 0.0074
model 2000, Loss 0.0074
model 2100, Loss 0.0076
model 2200, Loss 0.0074
model 2300, Loss 0.0075
model 2400, Loss 0.0070
model 2500, Loss 0.0071
model 2600, Loss 0.0076
model 2700, Loss 0.0071
model 2800, Loss 0.0072
model 2900, Loss 0.0070
model 3000, Loss 0.0071
model 3100, Loss 0.0070
model 3200, Loss 0.0072
model 3300, Loss 0.0071
model 3400, Loss 0.0068
model 3500, Loss 0.0068
model 3600, Loss 0.0070
model 3700, Loss 0.0071
model 3800, Loss 0.0065
model 3900, Loss 0.0065
model 4000, Loss 0.0068
model 4100, Loss 0.0071
model 4200, Loss 0.0066
model 4300, Loss 0.0069
model 4400, Loss 0.0065
model 4500, Loss 0.0066
model 4600, Loss 0.0066
model 4700, Loss 0.0067
model 4800, Loss 0.0064
model 4900, Loss 0.0064
model 5000, Loss 0.0063
model 5100, Loss 0.0064
model 5200, Loss 0.0064
model 5300, Loss 0.0066
model 5400, Loss 0.0063
model 5500, Loss 0.0064
model 5600, Loss 0.0065
model 5700, Loss 0.0065
model 5800, Loss 0.0063
model 5900, Loss 0.0064
model 6000, Loss 0.0064
model 6100, Loss 0.0064
model 6200, Loss 0.0072
model 6300, Loss 0.0065
model 6400, Loss 0.0064
model 6500, Loss 0.0062
model 6600, Loss 0.0062
model 6700, Loss 0.0064
model 6800, Loss 0.0062
model 6900, Loss 0.0062
model 7000, Loss 0.0063
model 7100, Loss 0.0061
model 7200, Loss 0.0064
model 7300, Loss 0.0063
model 7400, Loss 0.0061
model 7500, Loss 0.0060
model 7600, Loss 0.0063
model 7700, Loss 0.0059
model 7800, Loss 0.0063
model 7900, Loss 0.0070
model 8000, Loss 0.0061
model 8100, Loss 0.0062
model 8200, Loss 0.0063
model 8300, Loss 0.0060
model 8400, Loss 0.0062
model 8500, Loss 0.0058
model 8600, Loss 0.0063
model 8700, Loss 0.0060
model 8800, Loss 0.0059
model 8900, Loss 0.0060
model 9000, Loss 0.0061
model 9100, Loss 0.0062
model 9200, Loss 0.0060
model 9300, Loss 0.0059
model 9400, Loss 0.0060
model 9500, Loss 0.0060
model 9600, Loss 0.0058
model 9700, Loss 0.0062
model 9800, Loss 0.0060
model 9900, Loss 0.0058
model 10000, Loss 0.0062
