saved stats to ./Rewards/Kitchen_Reward/Stats/Kitchen_Reward_stats.pkl
model 50, Loss 0.0257
model 100, Loss 0.0194
model 150, Loss 0.0163
model 200, Loss 0.0151
model 250, Loss 0.0137
model 300, Loss 0.0132
model 350, Loss 0.0123
model 400, Loss 0.0117
model 450, Loss 0.0113
model 500, Loss 0.0107
model 550, Loss 0.0104
model 600, Loss 0.0102
model 650, Loss 0.0101
model 700, Loss 0.0092
model 750, Loss 0.0094
model 800, Loss 0.0092
model 850, Loss 0.0088
model 900, Loss 0.0087
model 950, Loss 0.0082
model 1000, Loss 0.0083
