Training reward approximator for kitchen Dataset
saved stats to ./Rewards/Kitchen_Reward/Stats/Kitchen_Reward_stats.pkl
Step 10, loss -4.2875
Step 20, loss -5.1938
Step 30, loss -5.2959
Step 40, loss -5.3862
Step 50, loss -5.3882
Step 60, loss -5.4646
Step 70, loss -5.4568
Step 80, loss -5.4517
Step 90, loss -5.5088
Step 100, loss -5.5358
reward model save to Kitchen_Reward_100.pkl
Step 110, loss -5.5525
Step 120, loss -5.5522
Step 130, loss -5.5211
Step 140, loss -5.5578
Step 150, loss -5.5366
Step 160, loss -5.5457
Step 170, loss -5.5627
Step 180, loss -5.5728
Step 190, loss -5.5507
Step 200, loss -5.5603
reward model save to Kitchen_Reward_200.pkl
Step 210, loss -5.5771
Step 220, loss -5.5859
Step 230, loss -5.5941
Step 240, loss -5.5941
Step 250, loss -5.6016
Step 260, loss -5.6263
Step 270, loss -5.5958
Step 280, loss -5.6253
Step 290, loss -5.6281
Step 300, loss -5.6138
reward model save to Kitchen_Reward_300.pkl
Step 310, loss -5.6285
Step 320, loss -5.6246
Step 330, loss -5.6298
Step 340, loss -5.6378
Step 350, loss -5.6244
Step 360, loss -5.6547
Step 370, loss -5.6650
Step 380, loss -5.6465
Step 390, loss -5.6429
Step 400, loss -5.6669
reward model save to Kitchen_Reward_400.pkl
Step 410, loss -5.6746
Step 420, loss -5.6603
Step 430, loss -5.6727
Step 440, loss -5.6788
Step 450, loss -5.6581
Step 460, loss -5.6578
Step 470, loss -5.6709
Step 480, loss -5.6797
Step 490, loss -5.6641
Step 500, loss -5.6713
reward model save to Kitchen_Reward_500.pkl
Step 510, loss -5.6707
Step 520, loss -5.6728
Step 530, loss -5.6970
Step 540, loss -5.7137
Step 550, loss -5.6744
Step 560, loss -5.7254
Step 570, loss -5.7086
Step 580, loss -5.7179
Step 590, loss -5.7076
Step 600, loss -5.7172
reward model save to Kitchen_Reward_600.pkl
Step 610, loss -5.7494
Step 620, loss -5.7150
Step 630, loss -5.7077
Step 640, loss -5.7015
Step 650, loss -5.7100
Step 660, loss -5.7122
Step 670, loss -5.7405
Step 680, loss -5.7253
Step 690, loss -5.7247
Step 700, loss -5.7375
reward model save to Kitchen_Reward_700.pkl
Step 710, loss -5.7513
Step 720, loss -5.7247
Step 730, loss -5.7592
Step 740, loss -5.7460
Step 750, loss -5.7581
Step 760, loss -5.7402
Step 770, loss -5.7355
Step 780, loss -5.7562
Step 790, loss -5.7795
Step 800, loss -5.7296
reward model save to Kitchen_Reward_800.pkl
Step 810, loss -5.7711
Step 820, loss -5.7692
Step 830, loss -5.7451
Step 840, loss -5.7918
Step 850, loss -5.7870
Step 860, loss -5.7587
Step 870, loss -5.7656
Step 880, loss -5.7294
Step 890, loss -5.7650
Step 900, loss -5.7841
reward model save to Kitchen_Reward_900.pkl
Step 910, loss -5.7869
Step 920, loss -5.7892
Step 930, loss -5.7700
Step 940, loss -5.7730
Step 950, loss -5.7787
Step 960, loss -5.7891
Step 970, loss -5.7859
Step 980, loss -5.7555
Step 990, loss -5.8009
Step 1000, loss -5.8015
reward model save to Kitchen_Reward_1000.pkl
Step 1010, loss -5.7974
Step 1020, loss -5.7829
Step 1030, loss -5.8190
Step 1040, loss -5.7813
Step 1050, loss -5.7916
Step 1060, loss -5.7579
Step 1070, loss -5.8181
Step 1080, loss -5.8133
Step 1090, loss -5.8111
Step 1100, loss -5.8009
reward model save to Kitchen_Reward_1100.pkl
Step 1110, loss -5.8371
Step 1120, loss -5.8227
Step 1130, loss -5.8172
Step 1140, loss -5.7784
Step 1150, loss -5.8159
Step 1160, loss -5.8156
Step 1170, loss -5.8475
Step 1180, loss -5.8336
Step 1190, loss -5.7959
Step 1200, loss -5.8325
reward model save to Kitchen_Reward_1200.pkl
Step 1210, loss -5.8357
Step 1220, loss -5.8249
Step 1230, loss -5.8294
Step 1240, loss -5.8072
Step 1250, loss -5.8467
Step 1260, loss -5.8145
Step 1270, loss -5.8384
Step 1280, loss -5.8197
Step 1290, loss -5.8053
Step 1300, loss -5.8522
reward model save to Kitchen_Reward_1300.pkl
Step 1310, loss -5.8439
Step 1320, loss -5.8373
Step 1330, loss -5.8332
Step 1340, loss -5.8394
Step 1350, loss -5.8465
Step 1360, loss -5.8326
Step 1370, loss -5.8564
Step 1380, loss -5.8483
Step 1390, loss -5.8413
Step 1400, loss -5.8578
reward model save to Kitchen_Reward_1400.pkl
Step 1410, loss -5.8405
Step 1420, loss -5.8653
Step 1430, loss -5.8732
Step 1440, loss -5.8347
Step 1450, loss -5.8919
Step 1460, loss -5.8657
Step 1470, loss -5.8759
Step 1480, loss -5.8645
Step 1490, loss -5.8751
Step 1500, loss -5.8408
reward model save to Kitchen_Reward_1500.pkl
Step 1510, loss -5.8851
Step 1520, loss -5.8324
Step 1530, loss -5.8668
Step 1540, loss -5.8698
Step 1550, loss -5.8762
Step 1560, loss -5.9105
Step 1570, loss -5.8718
Step 1580, loss -5.8490
Step 1590, loss -5.8619
Step 1600, loss -5.8918
reward model save to Kitchen_Reward_1600.pkl
Step 1610, loss -5.8901
Step 1620, loss -5.8771
Step 1630, loss -5.8921
Step 1640, loss -5.9105
Step 1650, loss -5.8850
Step 1660, loss -5.8785
Step 1670, loss -5.9085
Step 1680, loss -5.8608
Step 1690, loss -5.8650
Step 1700, loss -5.8752
reward model save to Kitchen_Reward_1700.pkl
Step 1710, loss -5.8546
Step 1720, loss -5.8645
Step 1730, loss -5.9028
Step 1740, loss -5.9268
Step 1750, loss -5.8717
Step 1760, loss -5.9174
Step 1770, loss -5.9022
Step 1780, loss -5.9152
Step 1790, loss -5.9178
Step 1800, loss -5.9152
reward model save to Kitchen_Reward_1800.pkl
Step 1810, loss -5.8952
Step 1820, loss -5.8597
Step 1830, loss -5.8970
Step 1840, loss -5.9010
Step 1850, loss -5.8985
Step 1860, loss -5.9009
Step 1870, loss -5.8923
Step 1880, loss -5.9273
Step 1890, loss -5.8940
Step 1900, loss -5.9316
reward model save to Kitchen_Reward_1900.pkl
Step 1910, loss -5.9096
Step 1920, loss -5.9448
Step 1930, loss -5.8976
Step 1940, loss -5.9001
Step 1950, loss -5.9518
Step 1960, loss -5.9298
Step 1970, loss -5.9161
Step 1980, loss -5.9108
Step 1990, loss -5.8985
Step 2000, loss -5.9458
reward model save to Kitchen_Reward_2000.pkl
Step 2010, loss -5.9187
Step 2020, loss -5.9077
Step 2030, loss -5.9155
Step 2040, loss -5.9290
Step 2050, loss -5.9122
Step 2060, loss -5.9175
Step 2070, loss -5.9419
Step 2080, loss -5.9309
Step 2090, loss -5.9373
Step 2100, loss -5.9360
reward model save to Kitchen_Reward_2100.pkl
Step 2110, loss -5.9323
Step 2120, loss -5.9136
Step 2130, loss -5.9297
Step 2140, loss -5.9233
Step 2150, loss -5.9531
Step 2160, loss -5.9213
Step 2170, loss -5.9583
Step 2180, loss -5.9262
Step 2190, loss -5.9248
Step 2200, loss -5.9495
reward model save to Kitchen_Reward_2200.pkl
Step 2210, loss -5.9436
Step 2220, loss -5.9660
Step 2230, loss -5.9590
Step 2240, loss -5.9398
Step 2250, loss -5.9671
Step 2260, loss -5.9646
Step 2270, loss -5.9477
Step 2280, loss -5.9335
Step 2290, loss -5.9539
Step 2300, loss -5.9481
reward model save to Kitchen_Reward_2300.pkl
Step 2310, loss -5.9622
Step 2320, loss -6.0014
Step 2330, loss -5.9661
Step 2340, loss -5.9429
Step 2350, loss -5.9887
Step 2360, loss -5.9296
Step 2370, loss -5.9870
Step 2380, loss -5.9818
Step 2390, loss -5.9255
Step 2400, loss -5.9683
reward model save to Kitchen_Reward_2400.pkl
Step 2410, loss -5.9890
Step 2420, loss -5.9468
Step 2430, loss -5.9769
Step 2440, loss -5.9418
Step 2450, loss -5.9567
Step 2460, loss -5.9677
Step 2470, loss -5.9315
Step 2480, loss -5.9424
Step 2490, loss -5.9939
Step 2500, loss -5.9788
reward model save to Kitchen_Reward_2500.pkl
Step 2510, loss -5.9776
Step 2520, loss -5.9938
Step 2530, loss -5.9792
Step 2540, loss -5.9872
Step 2550, loss -5.9713
Step 2560, loss -5.9885
Step 2570, loss -5.9630
Step 2580, loss -5.9946
Step 2590, loss -5.9630
Step 2600, loss -5.9660
reward model save to Kitchen_Reward_2600.pkl
Step 2610, loss -5.9755
Step 2620, loss -5.9740
Step 2630, loss -5.9815
Step 2640, loss -5.9553
Step 2650, loss -5.9601
Step 2660, loss -6.0075
Step 2670, loss -5.9783
Step 2680, loss -5.9793
Step 2690, loss -5.9865
Step 2700, loss -5.9867
reward model save to Kitchen_Reward_2700.pkl
Step 2710, loss -5.9867
Step 2720, loss -5.9880
Step 2730, loss -5.9774
Step 2740, loss -5.9876
Step 2750, loss -5.9991
Step 2760, loss -5.9970
Step 2770, loss -5.9967
Step 2780, loss -6.0101
Step 2790, loss -6.0175
Step 2800, loss -6.0235
reward model save to Kitchen_Reward_2800.pkl
Step 2810, loss -5.9982
Step 2820, loss -5.9932
Step 2830, loss -6.0187
Step 2840, loss -5.9786
Step 2850, loss -6.0062
Step 2860, loss -5.9923
Step 2870, loss -5.9941
Step 2880, loss -5.9995
Step 2890, loss -6.0069
Step 2900, loss -5.9940
reward model save to Kitchen_Reward_2900.pkl
Step 2910, loss -6.0085
Step 2920, loss -5.9988
Step 2930, loss -6.0061
Step 2940, loss -6.0039
Step 2950, loss -6.0144
