Training kernel for kitchen Dataset
Using device: cuda
saved stats to ./Transition_Kernel/Kitchen_Kernel/Stats/Kitchen_Kernel_stats.pkl

Step 10, loss 74.9456
Step 20, loss 66.8605
Step 30, loss 57.8388
Step 40, loss 47.5838
Step 50, loss 37.9815
Step 60, loss 30.0782
Step 70, loss 21.1857
Step 80, loss 16.4990
Step 90, loss 294.5709
Step 100, loss 28.1034
Step 110, loss 16.2157
Step 120, loss 12.0493
Step 130, loss 9.8956
Step 140, loss 5.0990
Step 150, loss 0.3086
Step 160, loss -0.7240
Step 170, loss -2.9354
Step 180, loss -6.9155
Step 190, loss -0.4163
Step 200, loss -2.6285
Step 210, loss -8.5595
Step 220, loss -8.1646
Step 230, loss -11.5711
Step 240, loss -13.5166
Step 250, loss -16.0214
Step 260, loss -5.9410
Step 270, loss -13.9712
Step 280, loss -15.9220
Step 290, loss -17.7592
Step 300, loss -18.0294
Step 310, loss -19.8451
Step 320, loss -21.4422
Step 330, loss -21.0652
Step 340, loss -8.4954
Step 350, loss -19.4920
Step 360, loss -22.5375
Step 370, loss -24.1537
Step 380, loss -24.5257
Step 390, loss -24.4763
Step 400, loss -25.5515
Step 410, loss -26.6962
Step 420, loss -28.5907
Step 430, loss -29.7052
Step 440, loss 15.6865
Step 450, loss -21.7917
Step 460, loss -24.9078
Step 470, loss -24.4778
Step 480, loss -28.2373
Step 490, loss -26.2098
Step 500, loss -28.2323
Step 510, loss -29.8921
Step 520, loss -29.2943
Step 530, loss -31.7311
Step 540, loss -32.6076
Step 550, loss -32.5795
Step 560, loss -33.8495
Step 570, loss -33.7603
Step 580, loss -36.0015
Step 590, loss -34.6649
Step 600, loss -35.6819
Step 610, loss -36.5849
Step 620, loss 103.2504
Step 630, loss -16.5500
Step 640, loss -19.5615
Step 650, loss -22.9719
Step 660, loss -25.9259
Step 670, loss -27.9712
Step 680, loss -29.4055
Step 690, loss -28.1863
Step 700, loss -32.0447
Step 710, loss -32.6408
Step 720, loss -31.3773
Step 730, loss -35.6862
Step 740, loss -34.5410
Step 750, loss -36.4430
Step 760, loss -37.9248
Step 770, loss -38.7233
Step 780, loss -35.9275
Step 790, loss -35.7695
Step 800, loss -38.1897
Step 810, loss 36.6274
Step 820, loss -17.0718
Step 830, loss -24.6492
Step 840, loss -26.7841
Step 850, loss -30.3853
Step 860, loss -32.0656
Step 870, loss -33.9065
Step 880, loss -34.3069
Step 890, loss -36.5397
Step 900, loss -37.8379
Step 910, loss -34.6731
Step 920, loss -36.4488
Step 930, loss -40.2047
Step 940, loss -39.7019
Step 950, loss -39.7629
Step 960, loss -40.7504
Step 970, loss -42.1501
Step 980, loss -40.0000
Step 990, loss -41.9313
Step 1000, loss -43.6696
Step 1010, loss -41.9536
Step 1020, loss -43.2999
Step 1030, loss -44.0935
Step 1040, loss -45.8998
Step 1050, loss -45.0442
Step 1060, loss -46.1154
Step 1070, loss -41.0777
Step 1080, loss -43.8917
Step 1090, loss -45.8112
Step 1100, loss -44.0549
Step 1110, loss -46.9455
Step 1120, loss -44.4069
Step 1130, loss -46.8959
Step 1140, loss -48.2667
Step 1150, loss -49.2475
Step 1160, loss -48.8209
Step 1170, loss -44.9676
Step 1180, loss -48.6549
Step 1190, loss -46.8553
Step 1200, loss -47.8419
Step 1210, loss -48.4755
Step 1220, loss -50.4035
Step 1230, loss -50.2666
Step 1240, loss -51.4304
Step 1250, loss -51.9710
Step 1260, loss -49.1123
Step 1270, loss -50.3511
Step 1280, loss -49.0835
Step 1290, loss -51.6971
Step 1300, loss -50.7579
Step 1310, loss -50.4812
Step 1320, loss -51.9018
Step 1330, loss -51.3622
Step 1340, loss -51.0065
Step 1350, loss -50.3936
Step 1360, loss -51.4645
Step 1370, loss -51.2150
Step 1380, loss -52.6452
Step 1390, loss -52.5942
Step 1400, loss -52.2427
Step 1410, loss -51.7983
Step 1420, loss -53.6341
Step 1430, loss -53.9458
